Country,ISO_A3,Region,IncomeGroup,Year,Emissions
"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income,1971,56632.349
Eritrea,ERI,Sub-Saharan Africa,Low income,1971,2934.123
Spain,ESP,Europe & Central Asia,High income,1971,183755.76
Estonia,EST,Europe & Central Asia,High income,1971,65084.3648
Ethiopia,ETH,Sub-Saharan Africa,Low income,1971,54376.102
Finland,FIN,Europe & Central Asia,High income,1971,58500.5289
Fiji,FJI,East Asia & Pacific,Upper middle income,1971,1157.89338
France,FRA,Europe & Central Asia,High income,1971,629907.505
Faroe Islands,FRO,Europe & Central Asia,High income,1971,NA
"Micronesia, Fed. Sts.",FSM,East Asia & Pacific,Lower middle income,1971,24.944894
Gabon,GAB,Sub-Saharan Africa,Upper middle income,1971,4699.55166
United Kingdom,GBR,Europe & Central Asia,High income,1971,837410.77
Georgia,GEO,Europe & Central Asia,Upper middle income,1971,49655.615
Ghana,GHA,Sub-Saharan Africa,Lower middle income,1971,21120.576
Gibraltar,GIB,Europe & Central Asia,High income,1971,NA
Guinea,GIN,Sub-Saharan Africa,Low income,1971,48043.582
"Gambia, The",GMB,Sub-Saharan Africa,Low income,1971,817.53221
Guinea-Bissau,GNB,Sub-Saharan Africa,Low income,1971,908.9924
Equatorial Guinea,GNQ,Sub-Saharan Africa,Upper middle income,1971,121.622938
Greece,GRC,Europe & Central Asia,High income,1971,43150.9068
Grenada,GRD,Latin America & Caribbean,Upper middle income,1971,61.595327
Greenland,GRL,Europe & Central Asia,High income,1971,NA
Guatemala,GTM,Latin America & Caribbean,Lower middle income,1971,9090.5758
Guam,GUM,East Asia & Pacific,High income,1971,38.320182
Guyana,GUY,Latin America & Caribbean,Upper middle income,1971,10682.1091
"Hong Kong SAR, China",HKG,East Asia & Pacific,High income,1971,10409.17449
Honduras,HND,Latin America & Caribbean,Lower middle income,1971,7399.3506
Croatia,HRV,Europe & Central Asia,High income,1971,25722.964
Haiti,HTI,Latin America & Caribbean,Low income,1971,4635.4858
Hungary,HUN,Europe & Central Asia,High income,1971,90705.017
Indonesia,IDN,East Asia & Pacific,Lower middle income,1971,294004.88
Isle of Man,IMN,Europe & Central Asia,High income,1971,NA
India,IND,South Asia,Lower middle income,1971,754018.475
Ireland,IRL,Europe & Central Asia,High income,1971,50207.9495
"Iran, Islamic Rep.",IRN,Middle East & North Africa,Upper middle income,1971,150900.254
Iraq,IRQ,Middle East & North Africa,Upper middle income,1971,57101.4776
Iceland,ISL,Europe & Central Asia,High income,1971,4121.829
Israel,ISR,Middle East & North Africa,High income,1971,17423.1433
Italy,ITA,Europe & Central Asia,High income,1971,398701.797
Jamaica,JAM,Latin America & Caribbean,Upper middle income,1971,7218.1041
Jordan,JOR,Middle East & North Africa,Upper middle income,1971,2157.92587
Japan,JPN,East Asia & Pacific,High income,1971,960481.941
Kazakhstan,KAZ,Europe & Central Asia,Upper middle income,1971,183204.846
Kenya,KEN,Sub-Saharan Africa,Lower middle income,1971,22376.806
Kyrgyz Republic,KGZ,Europe & Central Asia,Lower middle income,1971,15407.791
Cambodia,KHM,East Asia & Pacific,Lower middle income,1971,18829.4337
Kiribati,KIR,East Asia & Pacific,Lower middle income,1971,NA
St. Kitts and Nevis,KNA,Latin America & Caribbean,High income,1971,63.484853
"Korea, Rep.",KOR,East Asia & Pacific,High income,1971,89248.78
Kuwait,KWT,Middle East & North Africa,High income,1971,71418.7885
Lao PDR,LAO,East Asia & Pacific,Lower middle income,1971,15370.2654
Lebanon,LBN,Middle East & North Africa,Upper middle income,1971,6547.0607
Liberia,LBR,Sub-Saharan Africa,Low income,1971,1707.83431
Libya,LBY,Middle East & North Africa,Upper middle income,1971,54206.5029
St. Lucia,LCA,Latin America & Caribbean,Upper middle income,1971,140.351242
Liechtenstein,LIE,Europe & Central Asia,High income,1971,NA
Sri Lanka,LKA,South Asia,Lower middle income,1971,16291.7454
Lesotho,LSO,Sub-Saharan Africa,Lower middle income,1971,1636.0716
Lithuania,LTU,Europe & Central Asia,High income,1971,102814.511
Luxembourg,LUX,Europe & Central Asia,High income,1971,18172.2987
Latvia,LVA,Europe & Central Asia,High income,1971,45620.2012
"Macao SAR, China",MAC,East Asia & Pacific,High income,1971,274.2888557
St. Martin (French part),MAF,Latin America & Caribbean,High income,1971,NA
Morocco,MAR,Middle East & North Africa,Lower middle income,1971,19915.828
Monaco,MCO,Europe & Central Asia,High income,1971,NA
Moldova,MDA,Europe & Central Asia,Lower middle income,1971,26494.224
Madagascar,MDG,Sub-Saharan Africa,Low income,1971,31699.804
Maldives,MDV,South Asia,Upper middle income,1971,21.8498624
Mexico,MEX,Latin America & Caribbean,Upper middle income,1971,215289.415
Marshall Islands,MHL,East Asia & Pacific,Upper middle income,1971,2.53943612
"Macedonia, FYR",MKD,Europe & Central Asia,Upper middle income,1971,11427.6115
Mali,MLI,Sub-Saharan Africa,Low income,1971,24892.602
Malta,MLT,Middle East & North Africa,High income,1971,832.28208
Myanmar,MMR,East Asia & Pacific,Lower middle income,1971,423754.687
Montenegro,MNE,Europe & Central Asia,Upper middle income,1971,NA
Mongolia,MNG,East Asia & Pacific,Lower middle income,1971,13353.2168
Northern Mariana Islands,MNP,East Asia & Pacific,High income,1971,2.74295804
Mozambique,MOZ,Sub-Saharan Africa,Low income,1971,26276.193
Mauritania,MRT,Sub-Saharan Africa,Lower middle income,1971,4811.3556
Mauritius,MUS,Sub-Saharan Africa,Upper middle income,1971,700.31021
Malawi,MWI,Sub-Saharan Africa,Low income,1971,4125.4003
Malaysia,MYS,East Asia & Pacific,Upper middle income,1971,84957.564
Namibia,NAM,Sub-Saharan Africa,Upper middle income,1971,6119.279
New Caledonia,NCL,East Asia & Pacific,High income,1971,NA
Niger,NER,Sub-Saharan Africa,Low income,1971,8160.2696
Nigeria,NGA,Sub-Saharan Africa,Lower middle income,1971,90499.952
Nicaragua,NIC,Latin America & Caribbean,Lower middle income,1971,8078.6348
Netherlands,NLD,Europe & Central Asia,High income,1971,186709.003
Norway,NOR,Europe & Central Asia,High income,1971,55490.995
Nepal,NPL,South Asia,Low income,1971,20308.8691
Nauru,NRU,East Asia & Pacific,High income,1971,NA
New Zealand,NZL,East Asia & Pacific,High income,1971,48316.683
Oman,OMN,Middle East & North Africa,High income,1971,11973.58869
Pakistan,PAK,South Asia,Lower middle income,1971,88272.7669
Panama,PAN,Latin America & Caribbean,Upper middle income,1971,5876.4903
Peru,PER,Latin America & Caribbean,Upper middle income,1971,49525.361
Philippines,PHL,East Asia & Pacific,Lower middle income,1971,78563.179
Palau,PLW,East Asia & Pacific,Upper middle income,1971,NA
Papua New Guinea,PNG,East Asia & Pacific,Lower middle income,1971,5585.1159
Poland,POL,Europe & Central Asia,High income,1971,467738.84
Puerto Rico,PRI,Latin America & Caribbean,High income,1971,2495.71185
"Korea, Dem. People’s Rep.",PRK,East Asia & Pacific,Low income,1971,93374.105
Portugal,PRT,Europe & Central Asia,High income,1971,28815.6652
Paraguay,PRY,Latin America & Caribbean,Upper middle income,1971,37860.761
West Bank and Gaza,PSE,Middle East & North Africa,Lower middle income,1971,NA
French Polynesia,PYF,East Asia & Pacific,High income,1971,NA
Qatar,QAT,Middle East & North Africa,High income,1971,15621.40866
Romania,ROU,Europe & Central Asia,Upper middle income,1971,179222.06
Russian Federation,RUS,Europe & Central Asia,Upper middle income,1971,2244826.89
Rwanda,RWA,Sub-Saharan Africa,Low income,1971,2005.1179
Saudi Arabia,SAU,Middle East & North Africa,High income,1971,94020.5889
Sudan,SDN,Sub-Saharan Africa,Lower middle income,1971,58814.907
Senegal,SEN,Sub-Saharan Africa,Low income,1971,8274.179
Singapore,SGP,East Asia & Pacific,High income,1971,NA
Solomon Islands,SLB,East Asia & Pacific,Lower middle income,1971,3564.7102
Sierra Leone,SLE,Sub-Saharan Africa,Low income,1971,7348.9854
El Salvador,SLV,Latin America & Caribbean,Lower middle income,1971,4965.814
San Marino,SMR,Europe & Central Asia,High income,1971,NA
Somalia,SOM,Sub-Saharan Africa,Low income,1971,13129.918
Serbia,SRB,Europe & Central Asia,Upper middle income,1971,NA
South Sudan,SSD,Sub-Saharan Africa,Low income,1971,NA
Sao Tome and Principe,STP,Sub-Saharan Africa,Lower middle income,1971,39.609914
Suriname,SUR,Latin America & Caribbean,Upper middle income,1971,7813.9919
Slovak Republic,SVK,Europe & Central Asia,High income,1971,52047.333
Slovenia,SVN,Europe & Central Asia,High income,1971,11266.8859
Sweden,SWE,Europe & Central Asia,High income,1971,106525.896
Swaziland,SWZ,Sub-Saharan Africa,Lower middle income,1971,1626.5915
Sint Maarten (Dutch part),SXM,Latin America & Caribbean,High income,1971,NA
Seychelles,SYC,Sub-Saharan Africa,High income,1971,140.178556
Syrian Arab Republic,SYR,Middle East & North Africa,Lower middle income,1971,11204.9454
Turks and Caicos Islands,TCA,Latin America & Caribbean,High income,1971,1.47249527
Chad,TCD,Sub-Saharan Africa,Low income,1971,14150.067
